# T(K), P(Pa), rhog(mol/m3), rhol(mol/m3)
1.872400000000000020e+01, 1.718910304436581646e+04, 1.129564034210471988e+02, 4.335092089035639219e+04
1.884146107784431123e+01, 1.811378813726659064e+04, 1.183936490392862737e+02, 4.328422819407857605e+04
1.895892215568862227e+01, 1.907631936718145880e+04, 1.240227143332806889e+02, 4.321733783510827925e+04
1.907638323353293330e+01, 2.007771275349794814e+04, 1.298477174650437291e+02, 4.315024716716645344e+04
1.919384431137724434e+01, 2.111899432920239633e+04, 1.358728026006137668e+02, 4.308295352094887494e+04
1.931130538922155893e+01, 2.220119990754133687e+04, 1.421021399654812285e+02, 4.301545420479468885e+04
1.942876646706586996e+01, 2.332537484786127243e+04, 1.485399259415588631e+02, 4.294774650523450691e+04
1.954622754491018100e+01, 2.449257382371168933e+04, 1.551903832247159016e+02, 4.287982768741914333e+04
1.966368862275449203e+01, 2.570386059338093037e+04, 1.620577610423984254e+02, 4.281169499543197162e+04
1.978114970059880307e+01, 2.696030777273917556e+04, 1.691463354290473831e+02, 4.274334565248656872e+04
1.989861077844311410e+01, 2.826299660837160991e+04, 1.764604095449773240e+02, 4.267477686101070867e+04
2.001607185628742513e+01, 2.961301675650147081e+04, 1.840043140732454390e+02, 4.260598580262216274e+04
2.013353293413173617e+01, 3.101146606109154163e+04, 1.917824076504905690e+02, 4.253696963799541118e+04
2.025099401197604720e+01, 3.245945033803836486e+04, 1.997990773754852967e+02, 4.246772550662400317e+04
2.036845508982035824e+01, 3.395808316045013635e+04, 2.080587393621064507e+02, 4.239825052648079145e+04
2.048591616766466927e+01, 3.550848564818280283e+04, 2.165658393563813604e+02, 4.232854179357745306e+04
2.060337724550898386e+01, 3.711178625970613211e+04, 2.253248534045678753e+02, 4.225859638142698532e+04
2.072083832335329490e+01, 3.876912058954547683e+04, 2.343402885923005954e+02, 4.218841134041079931e+04
2.083829940119760593e+01, 4.048163116773726506e+04, 2.436166838316533187e+02, 4.211798369705304503e+04
2.095576047904191697e+01, 4.225046726369810494e+04, 2.531586107110288708e+02, 4.204731045320362318e+04
2.107322155688622800e+01, 4.407678469373493135e+04, 2.629706744027134846e+02, 4.197638858513219020e+04
2.119068263473053904e+01, 4.596174563369679527e+04, 2.730575146373534494e+02, 4.190521504253625608e+04
2.130814371257485007e+01, 4.790651843465250568e+04, 2.834238067320545724e+02, 4.183378674746158504e+04
2.142560479041916111e+01, 4.991227744354475726e+04, 2.940742626844419760e+02, 4.176210059313999955e+04
2.154306586826347569e+01, 5.198020282837402920e+04, 3.050136323300658887e+02, 4.169015344274431118e+04
2.166052694610778673e+01, 5.411148040630817559e+04, 3.162467045536013188e+02, 4.161794212805984716e+04
2.177798802395209776e+01, 5.630730147891583329e+04, 3.277783085803199583e+02, 4.154546344807717105e+04
2.189544910179640880e+01, 5.856886267021771346e+04, 3.396133153217560903e+02, 4.147271416750263597e+04
2.201291017964071983e+01, 6.089736576958830119e+04, 3.517566387889529551e+02, 4.139969101518967364e+04
2.213037125748503087e+01, 6.329401758020527632e+04, 3.642132375784386227e+02, 4.132639068249070260e+04
2.224783233532934190e+01, 6.576002977131317311e+04, 3.769881164213166471e+02, 4.125280982152781507e+04
2.236529341317365294e+01, 6.829661873603826098e+04, 3.900863278073356923e+02, 4.117894504338514525e+04
2.248275449101796397e+01, 7.090500545449553465e+04, 4.035129736836427696e+02, 4.110479291622008168e+04
2.260021556886227501e+01, 7.358641535958199529e+04, 4.172732072138882131e+02, 4.103034996329161368e+04
2.271767664670658604e+01, 7.634207821105419134e+04, 4.313722346334251938e+02, 4.095561266090969002e+04
2.283513772455089708e+01, 7.917322797383366560e+04, 4.458153171776701242e+02, 4.088057743629897595e+04
2.295259880239521166e+01, 8.208110269709148270e+04, 4.606077730648747774e+02, 4.080524066537708859e+04
2.307005988023952270e+01, 8.506694440594511980e+04, 4.757549796071317019e+02, 4.072959867044904240e+04
2.318752095808383373e+01, 8.813199899131405982e+04, 4.912623753644889462e+02, 4.065364771781059244e+04
2.330498203592814477e+01, 9.127751611008432519e+04, 5.071354624182478688e+02, 4.057738401526322559e+04
2.342244311377245580e+01, 9.450474908656002663e+04, 5.233798087117462501e+02, 4.050080370953356760e+04
2.353990419161676684e+01, 9.781495482311327942e+04, 5.400010505093048323e+02, 4.042390288360014529e+04
2.365736526946107787e+01, 1.012093937109237595e+05, 5.570048949217675727e+02, 4.034667755391760147e+04
2.377482634730538891e+01, 1.046893295526389848e+05, 5.743971225731914956e+02, 4.026912366754271352e+04
2.389228742514970349e+01, 1.082560294833223306e+05, 5.921835903305279771e+02, 4.019123709915102518e+04
2.400974850299401453e+01, 1.119107639033506421e+05, 6.103702341822383914e+02, 4.011301364794714755e+04
2.412720958083832556e+01, 1.156548064112933935e+05, 6.289630721983269268e+02, 4.003444903445863747e+04
2.424467065868263660e+01, 1.194894337467400619e+05, 6.479682076360222709e+02, 3.995553889721339510e+04
2.436213173652694763e+01, 1.234159257345133374e+05, 6.673918321446965365e+02, 3.987627878929187136e+04
2.447959281437125867e+01, 1.274355652376590733e+05, 6.872402291193801602e+02, 3.979666417475249182e+04
2.459705389221556970e+01, 1.315496381151257374e+05, 7.075197771839099232e+02, 3.971669042492230074e+04
2.471451497005988074e+01, 1.357594331843840191e+05, 7.282369538110805252e+02, 3.963635281454632786e+04
2.483197604790419177e+01, 1.400662421895612788e+05, 7.493983390894582044e+02, 3.955564651779115229e+04
2.494943712574850281e+01, 1.444713597776324605e+05, 7.710106196586669967e+02, 3.947456660409518372e+04
2.506689820359281384e+01, 1.489760834777099371e+05, 7.930805927906203578e+02, 3.939310803385633335e+04
2.518435928143712488e+01, 1.535817136871219263e+05, 8.156151706462362654e+02, 3.931126565395187208e+04
2.530182035928143947e+01, 1.582895536657192279e+05, 8.386213847242750035e+02, 3.922903419308123557e+04
2.541928143712575050e+01, 1.631009095316539169e+05, 8.621063904704498100e+02, 3.914640825692048384e+04
2.553674251497006153e+01, 1.680170902681678708e+05, 8.860774721128943838e+02, 3.906338232308339502e+04
2.565420359281437257e+01, 1.730394077335967741e+05, 9.105420476870895072e+02, 3.897995073587407387e+04
2.577166467065868360e+01, 1.781691766784510110e+05, 9.355076742836445192e+02, 3.889610770082410454e+04
2.588912574850299464e+01, 1.834077147701506037e+05, 9.609820535333818725e+02, 3.881184727900027065e+04
2.600658682634730567e+01, 1.887563426224985742e+05, 9.869730373240062136e+02, 3.872716338107130287e+04
2.612404790419162026e+01, 1.942163838332520972e+05, 1.013488633780962687e+03, 3.864204976112048462e+04
2.624150898203593130e+01, 1.997891650280549075e+05, 1.040537013515441913e+03, 3.855650001019003685e+04
2.635897005988024233e+01, 2.054760159120089666e+05, 1.068126516161418749e+03, 3.847050754954210424e+04
2.647643113772455337e+01, 2.112782693267827271e+05, 1.096265657204320632e+03, 3.838406562362011027e+04
2.659389221556886440e+01, 2.171972613187134557e+05, 1.124963135150407197e+03, 3.829716729269459756e+04
2.671135329341317544e+01, 2.232343312087349768e+05, 1.154227838998980587e+03, 3.820980542517179128e+04
2.682881437125748647e+01, 2.293908216764096578e+05, 1.184068856110084880e+03, 3.812197268955125764e+04
2.694627544910179751e+01, 2.356680788474183937e+05, 1.214495480423309573e+03, 3.803366154600548180e+04
2.706373652694610854e+01, 2.420674523908983101e+05, 1.245517221087572580e+03, 3.794486423756274598e+04
2.718119760479041958e+01, 2.485902956259912171e+05, 1.277143811520925738e+03, 3.785557278086834413e+04
2.729865868263473061e+01, 2.552379656356293708e+05, 1.309385218912830624e+03, 3.776577895649840502e+04
2.741611976047904164e+01, 2.620118233899191546e+05, 1.342251654209482922e+03, 3.767547429879829724e+04
2.753358083832335268e+01, 2.689132338798244600e+05, 1.375753582614701827e+03, 3.758465008521739946e+04
2.765104191616766371e+01, 2.759435662586315884e+05, 1.409901734621261085e+03, 3.749329732510658505e+04
2.776850299401197830e+01, 2.831041939947892679e+05, 1.444707117627161551e+03, 3.740140674794634106e+04
2.788596407185628934e+01, 2.903964950351698790e+05, 1.480181028166123042e+03, 3.730896879096731573e+04
2.800342514970060037e+01, 2.978218519782044459e+05, 1.516335064786563407e+03, 3.721597358612496464e+04
2.812088622754491141e+01, 3.053816522581381723e+05, 1.553181141627344687e+03, 3.712241094638466166e+04
2.823834730538922244e+01, 3.130772883428793866e+05, 1.590731502749561514e+03, 3.702827035127331328e+04
2.835580838323353703e+01, 3.209101579410861013e+05, 1.628998737244506628e+03, 3.693354093164599908e+04
2.847326946107784806e+01, 3.288816642236473854e+05, 1.667995795201007013e+03, 3.683821145361592062e+04
2.859073053892215910e+01, 3.369932160586831160e+05, 1.707736004582005080e+03, 3.674227030159052083e+04
2.870819161676647013e+01, 3.452462282580102328e+05, 1.748233089057129064e+03, 3.664570546034829022e+04
2.882565269461078117e+01, 3.536421218417959171e+05, 1.789501186898429978e+03, 3.654850449609566567e+04
2.894311377245509220e+01, 3.621823243142283754e+05, 1.831554870964105248e+03, 3.645065453642219654e+04
2.906057485029940324e+01, 3.708682699573424761e+05, 1.874409169891479223e+03, 3.635214224908291362e+04
2.917803592814371427e+01, 3.797014001405685558e+05, 1.918079590566589786e+03, 3.625295381951761374e+04
2.929549700598802531e+01, 3.886831636486845091e+05, 1.962582141977427682e+03, 3.615307492701584124e+04
2.941295808383233634e+01, 3.978150170265432098e+05, 2.007933360538180978e+03, 3.605249071942473529e+04
2.953041916167664738e+01, 4.070984249432301149e+05, 2.054150337008047700e+03, 3.595118578629037074e+04
2.964788023952095841e+01, 4.165348605778320925e+05, 2.101250745135193938e+03, 3.584914413031384902e+04
2.976534131736526945e+01, 4.261258060246533132e+05, 2.149252872138605653e+03, 3.574634913698670425e+04
2.988280239520958048e+01, 4.358727527217845200e+05, 2.198175651192001624e+03, 3.564278354226767988e+04
3.000026347305389507e+01, 4.457772019030543743e+05, 2.248038696061867995e+03, 3.553842939814006240e+04
3.011772455089820610e+01, 4.558406650762587669e+05, 2.298862338085167266e+03, 3.543326803588210896e+04
3.023518562874251714e+01, 4.660646645243834937e+05, 2.350667665646960813e+03, 3.532728002685592219e+04
3.035264670658682817e+01, 4.764507338393570972e+05, 2.403476566422268206e+03, 3.522044514061847440e+04
3.047010778443113921e+01, 4.870004184822624666e+05, 2.457311772561700764e+03, 3.511274230011906911e+04
