# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K)
2.000000000000000000e+01, 2.079685627336822762e+01, 2.079685627336822762e+01, 2.079685627336822762e+01
2.090909090909091006e+01, 2.080442121408806244e+01, 2.080442121408806244e+01, 2.080442121408806244e+01
2.181818181818181657e+01, 2.081509694956644907e+01, 2.081509694956644907e+01, 2.081509694956644907e+01
2.272727272727272663e+01, 2.082957855986736107e+01, 2.082957855986736107e+01, 2.082957855986736107e+01
2.363636363636363669e+01, 2.084859919160940223e+01, 2.084859919160940223e+01, 2.084859919160940223e+01
2.454545454545454675e+01, 2.087291438403533306e+01, 2.087291438403533306e+01, 2.087291438403533306e+01
2.545454545454545325e+01, 2.090328471223095264e+01, 2.090328471223095264e+01, 2.090328471223095264e+01
2.636363636363636331e+01, 2.094045744929909603e+01, 2.094045744929909603e+01, 2.094045744929909603e+01
2.727272727272727337e+01, 2.098514805509574188e+01, 2.098514805509574188e+01, 2.098514805509574188e+01
2.818181818181817988e+01, 2.103802231163123793e+01, 2.103802231163123793e+01, 2.103802231163123793e+01
2.909090909090908994e+01, 2.109967985773321786e+01, 2.109967985773321786e+01, 2.109967985773321786e+01
3.000000000000000000e+01, 2.117063975046576019e+01, 2.117063975046576019e+01, 2.117063975046576019e+01
3.090909090909090651e+01, 2.125132852242417059e+01, 2.125132852242417059e+01, 2.125132852242417059e+01
3.181818181818182012e+01, 2.134207103416368412e+01, 2.134207103416368412e+01, 2.134207103416368412e+01
3.272727272727272663e+01, 2.144308425677313323e+01, 2.144308425677313323e+01, 2.144308425677313323e+01
3.363636363636364024e+01, 2.155447397282082989e+01, 2.155447397282082989e+01, 2.155447397282082989e+01
3.454545454545454675e+01, 2.167623426157413036e+01, 2.167623426157413036e+01, 2.167623426157413036e+01
3.545454545454545325e+01, 2.180824953953180412e+01, 2.180824953953180412e+01, 2.180824953953180412e+01
3.636363636363635976e+01, 2.195029885992352803e+01, 2.195029885992352803e+01, 2.195029885992352803e+01
3.727272727272727337e+01, 2.210206213290922150e+01, 2.210206213290922150e+01, 2.210206213290922150e+01
3.818181818181817988e+01, 2.226312790851280354e+01, 2.226312790851280354e+01, 2.226312790851280354e+01
3.909090909090909349e+01, 2.243300236302640727e+01, 2.243300236302640727e+01, 2.243300236302640727e+01
4.000000000000000000e+01, 2.261111914277284640e+01, 2.261111914277284640e+01, 2.261111914277284640e+01
4.090909090909090651e+01, 2.279684974295732758e+01, 2.279684974295732758e+01, 2.279684974295732758e+01
4.181818181818181301e+01, 2.298951413049366721e+01, 2.298951413049366721e+01, 2.298951413049366721e+01
4.272727272727272663e+01, 2.318839135525635697e+01, 2.318839135525635697e+01, 2.318839135525635697e+01
4.363636363636364024e+01, 2.339272993179891813e+01, 2.339272993179891813e+01, 2.339272993179891813e+01
