# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K), rho(mol/m3), rho(mol/m3), rho(mol/m3)
2.000000000000000000e+01, 2.292392286892494013e+01, 2.202736860363638627e+01, 2.092978476674591448e+01, 4.332978962610883173e+04, 4.457493771521816961e+04, 4.677692930881615030e+04
2.090909090909091006e+01, 2.352098753721577395e+01, 2.249795301613886878e+01, 2.127592648149913401e+01, 4.282881438539700321e+04, 4.413588428002139699e+04, 4.641816948214655713e+04
2.181818181818181657e+01, 2.415324682000413858e+01, 2.298751955583868067e+01, 2.163081721613069774e+01, 4.231599124481545005e+04, 4.369029756010496931e+04, 4.605709748204023344e+04
2.272727272727272663e+01, 2.482411982297510278e+01, 2.349689086890112577e+01, 2.199524414336434219e+01, 4.179011683790635288e+04, 4.323768740394990164e+04, 4.569354272077531641e+04
2.363636363636363669e+01, 2.553796424828215095e+01, 2.402686694534877532e+01, 2.236967746564765491e+01, 4.124988040038347390e+04, 4.277756847202000790e+04, 4.532734817346992349e+04
2.454545454545454675e+01, 2.630043506648929608e+01, 2.457836826379564243e+01, 2.275437871012377045e+01, 4.069382557461260149e+04, 4.230945824584510410e+04, 4.495837522113289015e+04
2.545454545454545325e+01, 2.711887899193014562e+01, 2.515251102277839479e+01, 2.314946911085338499e+01, 4.012029812071170454e+04, 4.183287184098482248e+04, 4.458650635108812276e+04
2.636363636363636331e+01, 2.800284682595868446e+01, 2.575064293071669752e+01, 2.355496613463617805e+01, 3.952737661060064420e+04, 4.134731455045437906e+04, 4.421164614049031661e+04
2.727272727272727337e+01, 2.896482660407302490e+01, 2.637436377600418069e+01, 2.397080015077314386e+01, 3.891278040525468532e+04, 4.085227274807822687e+04, 4.383372103069542209e+04
2.818181818181817988e+01, 3.002134070624922302e+01, 2.702554696856771344e+01, 2.439682092413112358e+01, 3.827374530655786657e+04, 4.034720351900649257e+04, 4.345267834286478319e+04
2.909090909090908994e+01, 3.119463117572151845e+01, 2.770637108351359501e+01, 2.483280000983081948e+01, 3.760685120682515117e+04, 3.983152318251779070e+04, 4.306848487973394367e+04
3.000000000000000000e+01, 3.251531705572072184e+01, 2.841936550792037863e+01, 2.527843221420710051e+01, 3.690777590627929749e+04, 3.930459473149846599e+04, 4.268112535219983693e+04
3.090909090909090651e+01, 3.402672446016345020e+01, 2.916747138910225701e+01, 2.573333745517430060e+01, 3.617093124348158017e+04, 3.876571412756666541e+04, 4.229060078211481596e+04
