 #Meta stability initial point. P (Pa) = 
 #T (K)	lambda
  1.1979474001E+002  4.4789323566E-001
  1.1997512566E+002  4.4781562569E-001
  1.2015551131E+002  4.4773765938E-001
  1.2033589695E+002  4.4765933412E-001
  1.2051628260E+002  4.4758064730E-001
  1.2069666824E+002  4.4750159626E-001
  1.2087705389E+002  4.4742217831E-001
  1.2105743953E+002  4.4734239074E-001
  1.2123782518E+002  4.4726223083E-001
  1.2141821082E+002  4.4718169581E-001
  1.2159859647E+002  4.4710078288E-001
  1.2177898212E+002  4.4701948922E-001
  1.2195936776E+002  4.4693781198E-001
  1.2213975341E+002  4.4685574829E-001
  1.2232013905E+002  4.4677329523E-001
  1.2250052470E+002  4.4669044986E-001
  1.2268091034E+002  4.4660720921E-001
  1.2286129599E+002  4.4652357028E-001
  1.2304168164E+002  4.4643953004E-001
  1.2322206728E+002  4.4635508541E-001
  1.2340245293E+002  4.4627023330E-001
  1.2358283857E+002  4.4618497057E-001
  1.2376322422E+002  4.4609929406E-001
  1.2394360986E+002  4.4601320058E-001
  1.2412399551E+002  4.4592668688E-001
  1.2430438115E+002  4.4583974971E-001
  1.2448476680E+002  4.4575238574E-001
  1.2466515245E+002  4.4566459166E-001
  1.2484553809E+002  4.4557636407E-001
  1.2502592374E+002  4.4548769956E-001
  1.2520630938E+002  4.4539859469E-001
  1.2538669503E+002  4.4530904596E-001
  1.2556708067E+002  4.4521904985E-001
  1.2574746632E+002  4.4512860280E-001
  1.2592785197E+002  4.4503770119E-001
  1.2610823761E+002  4.4494634138E-001
  1.2628862326E+002  4.4485451968E-001
  1.2646900890E+002  4.4476223236E-001
  1.2664939455E+002  4.4466947566E-001
  1.2682978019E+002  4.4457624576E-001
  1.2701016584E+002  4.4448253881E-001
  1.2719055148E+002  4.4438835090E-001
  1.2737093713E+002  4.4429367808E-001
  1.2755132278E+002  4.4419851638E-001
  1.2773170842E+002  4.4410286176E-001
  1.2791209407E+002  4.4400671012E-001
  1.2809247971E+002  4.4391005735E-001
  1.2827286536E+002  4.4381289926E-001
  1.2845325100E+002  4.4371523163E-001
  1.2863363665E+002  4.4361705019E-001
  1.2881402230E+002  4.4351835060E-001
  1.2899440794E+002  4.4341912849E-001
  1.2917479359E+002  4.4331937944E-001
  1.2935517923E+002  4.4321909896E-001
  1.2953556488E+002  4.4311828251E-001
  1.2971595052E+002  4.4301692552E-001
  1.2989633617E+002  4.4291502333E-001
  1.3007672181E+002  4.4281257125E-001
  1.3025710746E+002  4.4270956453E-001
  1.3043749311E+002  4.4260599834E-001
  1.3061787875E+002  4.4250186781E-001
  1.3079826440E+002  4.4239716803E-001
  1.3097865004E+002  4.4229189398E-001
  1.3115903569E+002  4.4218604063E-001
  1.3133942133E+002  4.4207960285E-001
  1.3151980698E+002  4.4197257547E-001
  1.3170019263E+002  4.4186495325E-001
  1.3188057827E+002  4.4175673087E-001
  1.3206096392E+002  4.4164790297E-001
  1.3224134956E+002  4.4153846410E-001
  1.3242173521E+002  4.4142840875E-001
  1.3260212085E+002  4.4131773134E-001
  1.3278250650E+002  4.4120642621E-001
  1.3296289214E+002  4.4109448766E-001
  1.3314327779E+002  4.4098190988E-001
  1.3332366344E+002  4.4086868700E-001
  1.3350404908E+002  4.4075481307E-001
  1.3368443473E+002  4.4064028208E-001
  1.3386482037E+002  4.4052508792E-001
  1.3404520602E+002  4.4040922440E-001
  1.3422559166E+002  4.4029268529E-001
  1.3440597731E+002  4.4017546421E-001
  1.3458636296E+002  4.4005755476E-001
  1.3476674860E+002  4.3993895042E-001
  1.3494713425E+002  4.3981964459E-001
  1.3512751989E+002  4.3969963058E-001
  1.3530790554E+002  4.3957890162E-001
  1.3548829118E+002  4.3945745084E-001
  1.3566867683E+002  4.3933527129E-001
  1.3584906248E+002  4.3921235591E-001
  1.3602944812E+002  4.3908869755E-001
  1.3620983377E+002  4.3896428896E-001
  1.3639021941E+002  4.3883912280E-001
  1.3657060506E+002  4.3871319162E-001
  1.3675099070E+002  4.3858648788E-001
  1.3693137635E+002  4.3845900392E-001
  1.3711176199E+002  4.3833073197E-001
  1.3729214764E+002  4.3820166417E-001
  1.3747253329E+002  4.3807179255E-001
  1.3765291893E+002  4.3794110900E-001
  1.3783330458E+002  4.3780960532E-001
  1.3801369022E+002  4.3767727319E-001
  1.3819407587E+002  4.3754410417E-001
  1.3837446151E+002  4.3741008970E-001
  1.3855484716E+002  4.3727522109E-001
  1.3873523281E+002  4.3713948953E-001
  1.3891561845E+002  4.3700288608E-001
  1.3909600410E+002  4.3686540167E-001
  1.3927638974E+002  4.3672702711E-001
  1.3945677539E+002  4.3658775306E-001
  1.3963716103E+002  4.3644757005E-001
  1.3981754668E+002  4.3630646845E-001
  1.3999793232E+002  4.3616443853E-001
  1.4017831797E+002  4.3602147036E-001
  1.4035870362E+002  4.3587755391E-001
  1.4053908926E+002  4.3573267897E-001
  1.4071947491E+002  4.3558683519E-001
  1.4089986055E+002  4.3544001205E-001
  1.4108024620E+002  4.3529219888E-001
  1.4126063184E+002  4.3514338485E-001
