main group	main group	aij
1	1	0
2	1	-35.36
3	1	-11.12
4	1	-69.7
5	1	156.4
6	1	16.51
7	1	300
8	1	275.8
9	1	26.76
10	1	505.7
11	1	114.8
12	1	329.3
13	1	83.36
14	1	-30.48
15	1	65.33
16	1	-83.98
17	1	1139
18	1	-101.6
19	1	24.82
20	1	315.3
21	1	91.46
22	1	34.01
23	1	36.7
24	1	-78.45
25	1	106.8
26	1	-32.69
27	1	5541
28	1	-52.65
29	1	-7.481
30	1	-25.31
31	1	140
32	1	128
33	1	-31.52
34	1	-72.88
35	1	50.49
36	1	-165.9
37	1	47.41
38	1	-5.132
39	1	-31.95
40	1	147.3
41	1	529
42	1	-34.36
43	1	110.2
44	1	13.89
45	1	30.74
46	1	27.97
47	1	-11.92
48	1	39.93
49	1	-23.61
50	1	-8.479
52	1	245.21
1	2	86.02
2	2	0
3	2	3.446
4	2	-113.6
5	2	457
6	2	-12.52
7	2	496.1
8	2	217.5
9	2	42.92
10	2	56.3
11	2	132.1
12	2	110.4
13	2	26.51
14	2	1.163
15	2	-28.7
16	2	-25.38
17	2	2000
18	2	-47.63
19	2	-40.62
20	2	1264
21	2	40.25
22	2	-23.5
23	2	51.06
24	2	160.9
25	2	70.32
26	2	-1.996
28	2	16.62
30	2	82.64
33	2	174.6
34	2	41.38
35	2	64.07
36	2	573
37	2	124.2
38	2	-131.7
39	2	249
40	2	62.4
41	2	1397
44	2	-16.11
46	2	9.755
47	2	132.4
48	2	543.6
49	2	161.1
52	2	384.45
1	3	61.13
2	3	38.81
3	3	0
4	3	-146.8
5	3	89.6
6	3	-50
7	3	362.3
8	3	25.34
9	3	140.1
10	3	23.39
11	3	85.84
12	3	18.12
13	3	52.13
14	3	-44.85
15	3	-22.31
16	3	-223.9
17	3	247.5
18	3	31.87
19	3	-22.97
20	3	62.32
21	3	4.68
22	3	121.3
23	3	288.5
24	3	-4.7
25	3	-97.27
26	3	10.38
27	3	1824
28	3	21.5
29	3	28.41
30	3	157.3
31	3	221.4
32	3	58.68
33	3	-154.2
34	3	-101.12
35	3	-2.504
36	3	-123.6
37	3	395.8
38	3	-237.2
39	3	-133.9
40	3	140.6
41	3	317.6
42	3	787.9
43	3	234.4
44	3	-23.88
45	3	167.9
47	3	-86.88
49	3	142.9
50	3	23.93
52	3	47.05
1	4	76.5
2	4	74.15
3	4	167
4	4	0
5	4	25.82
6	4	-44.5
7	4	377.6
8	4	244.2
9	4	365.8
10	4	106
11	4	-170
12	4	428
13	4	65.69
14	4	296.4
15	4	223
16	4	109.9
17	4	762.8
18	4	49.8
19	4	-138.4
20	4	89.86
21	4	122.9
22	4	140.8
23	4	69.9
24	4	134.7
25	4	402.5
26	4	-97.05
27	4	-127.8
28	4	40.68
29	4	19.56
30	4	128.8
31	4	150.6
32	4	26.41
33	4	1112
34	4	614.52
35	4	-143.2
36	4	397.4
37	4	419.1
38	4	-157.3
39	4	-240.2
40	4	839.83
41	4	615.8
42	4	191.6
43	4	221.8
44	4	6.214
47	4	-19.45
49	4	274.1
50	4	2.845
52	4	347.13
1	5	986.5
2	5	524.1
3	5	636.1
4	5	803.2
5	5	0
6	5	249.1
7	5	-229.1
8	5	-451.6
9	5	164.5
10	5	529
11	5	245.4
12	5	139.4
13	5	237.7
14	5	-242.8
15	5	-150
16	5	28.6
17	5	-17.4
18	5	-132.3
19	5	185.4
20	5	-151
21	5	562.2
22	5	527.6
23	5	742.1
24	5	856.3
25	5	325.7
26	5	261.6
27	5	561.6
28	5	609.8
29	5	461.6
30	5	521.6
31	5	267.6
32	5	501.3
33	5	524.9
34	5	68.95
35	5	-25.87
36	5	389.3
37	5	738.9
38	5	649.7
39	5	64.16
41	5	88.63
42	5	1913
43	5	84.85
44	5	796.9
45	5	794.4
46	5	394.8
47	5	517.5
49	5	-61.2
50	5	682.5
52	5	72.19
1	6	697.2
2	6	787.6
3	6	637.35
4	6	603.25
5	6	-137.1
6	6	0
7	6	289.6
8	6	-265.2
9	6	108.7
10	6	-340.2
11	6	249.63
12	6	227.8
13	6	238.4
14	6	-481.7
15	6	-370.3
16	6	-406.8
17	6	-118.1
18	6	-378.2
19	6	162.6
20	6	339.8
21	6	529
22	6	669.9
23	6	649.1
24	6	709.6
25	6	612.8
26	6	252.6
27	6	511.29
28	6	914.2
29	6	448.6
30	6	287
31	6	240.8
32	6	431.3
33	6	494.7
34	6	967.71
35	6	695
36	6	218.8
37	6	528
38	6	645.9
39	6	172.2
41	6	171
45	6	762.7
48	6	420
49	6	-89.24
50	6	597.8
52	6	265.75
1	7	1318
2	7	270.6
3	7	903.8
4	7	5695
5	7	353.5
6	7	-181
7	7	0
8	7	-601.8
9	7	472.5
10	7	480.8
11	7	200.8
12	7	124.63
13	7	-314.7
14	7	-330.48
15	7	-448.2
16	7	-598.8
17	7	-341.6
18	7	-332.9
19	7	242.8
20	7	-66.17
21	7	698.2
22	7	708.7
23	7	826.76
24	7	1201
25	7	-274.5
26	7	417.9
27	7	360.7
28	7	1081
30	7	23.48
31	7	-137.4
33	7	79.18
35	7	-240
36	7	386.6
39	7	-287.1
41	7	284.4
42	7	180.2
44	7	832.2
46	7	-509.3
47	7	-205.7
49	7	-384.3
52	7	627.39
1	8	1333
2	8	526.1
3	8	1329
4	8	884.9
5	8	-259.7
6	8	-101.7
7	8	324.5
8	8	0
9	8	-133.1
10	8	-155.6
11	8	-36.72
12	8	-234.25
13	8	-178.5
14	8	-870.8
17	8	-253.1
18	8	-341.6
20	8	-11
22	8	1633.5
24	8	10000
25	8	622.3
27	8	815.12
28	8	1421
31	8	838.4
41	8	-167.3
44	8	-234.7
50	8	810.5
1	9	476.4
2	9	182.6
3	9	25.77
4	9	-52.1
5	9	84
6	9	23.39
7	9	-195.4
8	9	-356.1
9	9	0
10	9	128
11	9	372.2
12	9	385.4
13	9	191.1
15	9	394.6
16	9	225.3
17	9	-450.3
18	9	29.1
19	9	-287.5
20	9	-297.8
21	9	286.3
22	9	82.86
23	9	552.1
24	9	372
25	9	518.4
26	9	-142.6
27	9	-101.5
28	9	303.7
29	9	160.6
30	9	317.5
31	9	135.4
32	9	138
33	9	-142.6
34	9	443.6
35	9	110.4
36	9	114.55
37	9	-40.9
39	9	97.04
41	9	123.4
42	9	992.4
47	9	156.4
50	9	278.8
1	10	677
2	10	448.8
3	10	347.3
4	10	586.6
5	10	-203.6
6	10	306.4
7	10	-116
8	10	-271.1
9	10	-37.36
10	10	0
11	10	185.1
12	10	-236.5
13	10	-7.838
19	10	224.66
20	10	-165.5
21	10	-47.51
22	10	190.6
23	10	242.8
32	10	245.9
34	10	-55.87
36	10	354
37	10	183.8
39	10	13.89
41	10	577.5
1	11	232.1
2	11	37.85
3	11	5.994
4	11	5688
5	11	101.1
6	11	-10.72
7	11	72.87
8	11	-449.4
9	11	-213.7
10	11	-110.3
11	11	0
12	11	1167
13	11	461.3
15	11	136
16	11	2889
17	11	-294.8
18	11	8.87
19	11	-266.6
20	11	-256.3
21	11	35.38
22	11	-132.9
23	11	176.5
24	11	129.5
25	11	-171.1
26	11	129.3
28	11	243.8
30	11	-146.3
31	11	152
32	11	21.92
33	11	24.37
34	11	-111.45
35	11	41.57
36	11	175.5
37	11	611.3
39	11	-82.12
41	11	-234.9
47	11	-3.444
1	12	507
2	12	333.5
3	12	287.1
4	12	197.8
5	12	267.8
6	12	179.7
7	12	233.87
8	12	-32.52
9	12	-190.4
10	12	766
11	12	-241.8
12	12	0
13	12	457.3
18	12	554.4
19	12	99.37
20	12	193.9
22	12	80.99
23	12	235.6
24	12	351.9
25	12	383.3
29	12	201.5
33	12	-92.26
37	12	134.5
39	12	-116.7
41	12	65.37
1	13	251.5
2	13	214.5
3	13	32.14
4	13	213.1
5	13	28.06
6	13	-128.6
7	13	540.5
8	13	-162.9
9	13	-103.6
10	13	304.1
11	13	-235.7
12	13	-234
13	13	0
14	13	222.1
15	13	-56.08
16	13	-194.1
17	13	285.36
18	13	-156.1
19	13	38.81
20	13	-338.5
21	13	225.4
22	13	-197.7
23	13	-20.93
24	13	113.9
25	13	-25.15
26	13	-94.49
27	13	220.66
28	13	112.4
29	13	63.71
30	13	-87.31
31	13	9.207
32	13	476.6
33	13	736.4
34	13	173.77
35	13	-93.51
37	13	-217.9
38	13	167.1
39	13	-158.2
40	13	278.15
41	13	-247.8
42	13	448.5
1	14	391.5
2	14	240.9
3	14	161.7
4	14	19.02
5	14	83.02
6	14	359.3
7	14	48.89
8	14	-832.97
13	14	-78.36
