 #Meta stability limit: 
 #T (K)	P (bar)	v (m3/mol)
  1.8165293942E+002  1.0000000000E+000  6.9253531988E-005
  1.8413408241E+002  7.7365771693E+000  7.0652546136E-005
  1.8649001839E+002  1.3854008140E+001  7.2079822245E-005
  1.8872327555E+002  1.9399393995E+001  7.3535931243E-005
  1.9083640277E+002  2.4416204885E+001  7.5021455594E-005
  1.9283196047E+002  2.8944583028E+001  7.6536989528E-005
  1.9471251269E+002  3.3021617907E+001  7.8083139278E-005
  1.9648062034E+002  3.6681596465E+001  7.9660523325E-005
  1.9813883536E+002  3.9956230772E+001  8.1269772643E-005
  1.9968969576E+002  4.2874865375E+001  8.2911530954E-005
  2.0113572138E+002  4.5464666326E+001  8.4586454983E-005
  2.0247941031E+002  4.7750793642E+001  8.6295214722E-005
  2.0372323587E+002  4.9756558803E+001  8.8038493697E-005
  2.0486964405E+002  5.1503568703E+001  8.9816989244E-005
  2.0592105140E+002  5.3011857324E+001  9.1631412784E-005
  2.0687984331E+002  5.4300006294E+001  9.3482490110E-005
  2.0774837257E+002  5.5385255351E+001  9.5370961680E-005
  2.0852895824E+002  5.6283603634E+001  9.7297582905E-005
  2.0922388473E+002  5.7009902643E+001  9.9263124461E-005
  2.0983540117E+002  5.7577941625E+001  1.0126837259E-004
  2.1036572085E+002  5.8000526046E+001  1.0331412942E-004
  2.1081702089E+002  5.8289549775E+001  1.0540121328E-004
  2.1119144208E+002  5.8456061534E+001  1.0753045903E-004
  2.1149108870E+002  5.8510326105E+001  1.0970271839E-004
  2.1171802862E+002  5.8461880748E+001  1.1191886031E-004
  2.1187429332E+002  5.8319587252E+001  1.1417977126E-004
  2.1196187810E+002  5.8091679968E+001  1.1648635564E-004
  2.1198274230E+002  5.7785810189E+001  1.1883953612E-004
  2.1193880956E+002  5.7409087161E+001  1.2124025400E-004
  2.1183196817E+002  5.6968116010E+001  1.2368946960E-004
  2.1166407140E+002  5.6469032842E+001  1.2618816263E-004
  2.1143693790E+002  5.5917537249E+001  1.2873733261E-004
  2.1115235212E+002  5.5318922413E+001  1.3133799924E-004
  2.1081206472E+002  5.4678103031E+001  1.3399120282E-004
  2.1041779303E+002  5.3999641197E+001  1.3669800467E-004
  2.0997122149E+002  5.3287770438E+001  1.3945948754E-004
  2.0947400209E+002  5.2546418026E+001  1.4227675607E-004
  2.0892775491E+002  5.1779225699E+001  1.4515093720E-004
  2.0833406676E+002  5.0989567282E+001  1.4808318064E-004
  2.0769449887E+002  5.0180573477E+001  1.5107465932E-004
  2.0701057624E+002  4.9355137791E+001  1.5412656988E-004
  2.0628379576E+002  4.8515939520E+001  1.5724013313E-004
  2.0551562467E+002  4.7665456248E+001  1.6041659452E-004
  2.0470750105E+002  4.6805977304E+001  1.6365722470E-004
  2.0386083426E+002  4.5939616309E+001  1.6696331994E-004
  2.0297700535E+002  4.5068322874E+001  1.7033620274E-004
  2.0205736756E+002  4.4193893507E+001  1.7377722229E-004
  2.0110324669E+002  4.3317981797E+001  1.7728775504E-004
  2.0011594156E+002  4.2442107915E+001  1.8086920527E-004
  1.9909672440E+002  4.1567667485E+001  1.8452300558E-004
  1.9804684128E+002  4.0695939876E+001  1.8825061756E-004
  1.9696751250E+002  3.9828095946E+001  1.9205353230E-004
  1.9585993300E+002  3.8965205275E+001  1.9593327101E-004
  1.9472527271E+002  3.8108242941E+001  1.9989138564E-004
  1.9356467696E+002  3.7258095841E+001  2.0392945949E-004
  1.9237926682E+002  3.6415568615E+001  2.0804910784E-004
  1.9117013950E+002  3.5581389184E+001  2.1225197861E-004
  1.8993836868E+002  3.4756213933E+001  2.1653975300E-004
  1.8868500488E+002  3.3940632566E+001  2.2091414618E-004
  1.8741107576E+002  3.3135172647E+001  2.2537690796E-004
  1.8611758652E+002  3.2340303856E+001  2.2992982351E-004
  1.8480552018E+002  3.1556441970E+001  2.3457471406E-004
  1.8347583791E+002  3.0783952602E+001  2.3931343762E-004
  1.8212947940E+002  3.0023154693E+001  2.4414788975E-004
  1.8076736309E+002  2.9274323790E+001  2.4908000429E-004
  1.7939038656E+002  2.8537695115E+001  2.5411175415E-004
  1.7799942676E+002  2.7813466445E+001  2.5924515210E-004
  1.7659534037E+002  2.7101800806E+001  2.6448225156E-004
  1.7517896406E+002  2.6402829001E+001  2.6982514746E-004
  1.7375111480E+002  2.5716651982E+001  2.7527597701E-004
  1.7231259013E+002  2.5043343063E+001  2.8083692062E-004
  1.7086416843E+002  2.4382950008E+001  2.8651020275E-004
  1.6940660923E+002  2.3735496979E+001  2.9229809278E-004
  1.6794065348E+002  2.3100986362E+001  2.9820290594E-004
  1.6646702379E+002  2.2479400482E+001  3.0422700424E-004
  1.6498642474E+002  2.1870703208E+001  3.1037279740E-004
  1.6349954310E+002  2.1274841454E+001  3.1664274381E-004
  1.6200704815E+002  2.0691746593E+001  3.2303935155E-004
  1.6050959187E+002  2.0121335770E+001  3.2956517933E-004
  1.5900780928E+002  1.9563513142E+001  3.3622283758E-004
  1.5750231860E+002  1.9018171033E+001  3.4301498944E-004
  1.5599372159E+002  1.8485191017E+001  3.4994435188E-004
  1.5448260375E+002  1.7964444930E+001  3.5701369672E-004
  1.5296953456E+002  1.7455795819E+001  3.6422585180E-004
  1.5145506778E+002  1.6959098829E+001  3.7158370208E-004
  1.4993974163E+002  1.6474202027E+001  3.7909019080E-004
